Name, Type, primtive type,size/ArrayDimensions,Function Input Type, Function Output Type, Scope,Offset
test,class,,16,,,global,0
fil,identifier,int,8,,,global_class,0
nestedtest,class,,8,,,global_class,0
t1{-8},temp,,0,,,global_class,-8
factorial,Method,,0,int,int,global_class_class,0
fibonacci,Method,,0,int,int,global_class_class,0
main,Method,,0,void,void,global_class_class,0
ans,identifier,int,8,,,global_class_class_Method,-8
n,identifier,int,8,,,global_class_class_Method,16
t10{-80},temp,,0,,,global_class_class_Method,-80
t11{-88},temp,,0,,,global_class_class_Method,-88
t2{-16},temp,,0,,,global_class_class_Method,-16
t3{-24},temp,,0,,,global_class_class_Method,-24
t4{-32},temp,,0,,,global_class_class_Method,-32
t5{-40},temp,,0,,,global_class_class_Method,-40
t6{-48},temp,,0,,,global_class_class_Method,-48
t7{-56},temp,,0,,,global_class_class_Method,-56
t8{-64},temp,,0,,,global_class_class_Method,-64
t9{-72},temp,,0,,,global_class_class_Method,-72
n,identifier,int,8,,,global_class_class_Method,16
r1,identifier,int,8,,,global_class_class_Method,-96
r2,identifier,int,8,,,global_class_class_Method,-128
t12{-8},temp,,0,,,global_class_class_Method,-8
t13{-16},temp,,0,,,global_class_class_Method,-16
t14{-24},temp,,0,,,global_class_class_Method,-24
t15{-32},temp,,0,,,global_class_class_Method,-32
t16{-40},temp,,0,,,global_class_class_Method,-40
t17{-48},temp,,0,,,global_class_class_Method,-48
t18{-56},temp,,0,,,global_class_class_Method,-56
t19{-64},temp,,0,,,global_class_class_Method,-64
t20{-72},temp,,0,,,global_class_class_Method,-72
t21{-80},temp,,0,,,global_class_class_Method,-80
t22{-88},temp,,0,,,global_class_class_Method,-88
t23{-104},temp,,0,,,global_class_class_Method,-104
t24{-112},temp,,0,,,global_class_class_Method,-112
t25{-120},temp,,0,,,global_class_class_Method,-120
t26{-136},temp,,0,,,global_class_class_Method,-136
t27{-144},temp,,0,,,global_class_class_Method,-144
t28{-152},temp,,0,,,global_class_class_Method,-152
a,array,int,10,,,global_class_class_Method,-104
for,for,,0,,,global_class_class_Method,0
m,identifier,int,8,,,global_class_class_Method,-64
n,identifier,int,8,,,global_class_class_Method,-48
p,identifier,long,8,,,global_class_class_Method,-24
r,identifier,int,8,,,global_class_class_Method,-56
t29{-8},temp,,0,,,global_class_class_Method,-8
t30{-16},temp,,0,,,global_class_class_Method,-16
t31{-32},temp,,0,,,global_class_class_Method,-32
t32{-40},temp,,0,,,global_class_class_Method,-40
t33{-72},temp,,0,,,global_class_class_Method,-72
t34{-80},temp,,0,,,global_class_class_Method,-80
t35{-88},temp,,0,,,global_class_class_Method,-88
t36{-96},temp,,0,,,global_class_class_Method,-96
t51{-320},temp,,0,,,global_class_class_Method,-320
t52{-328},temp,,0,,,global_class_class_Method,-328
t53{-336},temp,,0,,,global_class_class_Method,-336
t54{-344},temp,,0,,,global_class_class_Method,-344
t55{-352},temp,,0,,,global_class_class_Method,-352
t56{-360},temp,,0,,,global_class_class_Method,-360
t57{-368},temp,,0,,,global_class_class_Method,-368
t58{-376},temp,,0,,,global_class_class_Method,-376
t59{-384},temp,,0,,,global_class_class_Method,-384
t60{-392},temp,,0,,,global_class_class_Method,-392
t61{-400},temp,,0,,,global_class_class_Method,-400
t62{-408},temp,,0,,,global_class_class_Method,-408
t63{-416},temp,,0,,,global_class_class_Method,-416
t64{-424},temp,,0,,,global_class_class_Method,-424
t65{-432},temp,,0,,,global_class_class_Method,-432
t66{-440},temp,,0,,,global_class_class_Method,-440
t67{-448},temp,,0,,,global_class_class_Method,-448
t68{-456},temp,,0,,,global_class_class_Method,-456
t69{-464},temp,,0,,,global_class_class_Method,-464
t70{-472},temp,,0,,,global_class_class_Method,-472
t71{-480},temp,,0,,,global_class_class_Method,-480
t72{-488},temp,,0,,,global_class_class_Method,-488
t73{-496},temp,,0,,,global_class_class_Method,-496
t74{-504},temp,,0,,,global_class_class_Method,-504
t75{-512},temp,,0,,,global_class_class_Method,-512
t76{-520},temp,,0,,,global_class_class_Method,-520
t77{-528},temp,,0,,,global_class_class_Method,-528
t78{-536},temp,,0,,,global_class_class_Method,-536
t79{-544},temp,,0,,,global_class_class_Method,-544
t80{-552},temp,,0,,,global_class_class_Method,-552
t81{-560},temp,,0,,,global_class_class_Method,-560
t82{-568},temp,,0,,,global_class_class_Method,-568
t83{-576},temp,,0,,,global_class_class_Method,-576
while,while,,0,,,global_class_class_Method,0
b,identifier,int,8,,,global_class_class_Method_for,-256
i,identifier,int,8,,,global_class_class_Method_for,-192
q,identifier,int,8,,,global_class_class_Method_for,-304
t37{-184},temp,,0,,,global_class_class_Method_for,-184
t38{-200},temp,,0,,,global_class_class_Method_for,-200
t39{-208},temp,,0,,,global_class_class_Method_for,-208
t40{-216},temp,,0,,,global_class_class_Method_for,-216
t41{-224},temp,,0,,,global_class_class_Method_for,-224
t42{-232},temp,,0,,,global_class_class_Method_for,-232
t43{-240},temp,,0,,,global_class_class_Method_for,-240
t44{-248},temp,,0,,,global_class_class_Method_for,-248
t45{-264},temp,,0,,,global_class_class_Method_for,-264
t46{-272},temp,,0,,,global_class_class_Method_for,-272
t47{-280},temp,,0,,,global_class_class_Method_for,-280
t48{-288},temp,,0,,,global_class_class_Method_for,-288
t49{-296},temp,,0,,,global_class_class_Method_for,-296
t50{-312},temp,,0,,,global_class_class_Method_for,-312
t84{-584},temp,,0,,,global_class_class_Method_while,-584
t85{-592},temp,,0,,,global_class_class_Method_while,-592
